date,epoch,ctr_AUC,atr_AUC,cvr_AUC,ctr_loss,atr_loss,cvr_loss
2023-04-20 00:20:12,0,0.8150001772084827,0.7016296802870882,0.698620980711249,0.08749729263373929,0.07689222106296835,0.11981214755103788
2023-04-20 00:20:12,1,0.8398804087045793,0.6994627006423917,0.7006690274853411,0.0032527694976911556,0.0195915811819896,0.06693077530182329
2023-04-20 00:20:12,2,0.8502762689537972,0.7041852360349841,0.7054643350499505,0.002619016989861824,0.01946641434666654,0.06679251692246342
2023-04-20 00:20:12,3,0.8476114883934177,0.6985151597986874,0.6987815126628335,0.0025542212580517204,0.01944060846795875,0.06674789638551612
2023-04-20 00:20:12,4,0.8509684743382049,0.7021845991905735,0.7100132192605296,0.0025304038842232025,0.019408645407941832,0.0666967292125708
2023-04-20 00:20:12,5,0.8478731079573393,0.7040444199353869,0.7077193682539283,0.0025215146958223605,0.01940145529117879,0.0666729389546759
2023-04-20 00:20:12,6,0.8660575583611426,0.7094773543290156,0.7145926805215657,0.0025128569061184515,0.019394244712868502,0.06665093533774331
2023-04-20 00:20:12,7,0.8626643381078365,0.7074034615588045,0.7083164006699151,0.0025069946914494396,0.019379597368451938,0.06664311296123653
2023-04-20 00:20:12,8,0.8605813836261884,0.7055644232767284,0.7071981946161566,0.0025057606424049848,0.019376690006656486,0.0666220223633672
2023-04-20 00:20:12,9,0.861200762235656,0.699432665308884,0.7045612599147832,0.0025098555854163166,0.01936378765387511,0.06661017376381595
2023-04-20 00:20:12,10,0.8633832066009262,0.6958070021569108,0.6991332048182051,0.0025079513782633994,0.019370512408567877,0.06662648058540036
2023-04-20 00:20:12,11,0.8591205229914468,0.700706952784935,0.6967129496860827,0.002506117688926417,0.019359729353004826,0.06658601845349067
2023-04-20 00:20:12,12,0.8694565903094409,0.7130200297310804,0.7113599182563642,0.0025008351815349423,0.019346911292090773,0.06658714121833578
2023-04-20 00:20:12,13,0.8706105140105183,0.7099179589670752,0.7025632468404395,0.00249661868277659,0.019344762785340322,0.06658291970834981
2023-04-20 00:20:12,14,0.8614740454357251,0.7087864937308814,0.7090107342217135,0.0024969025301751235,0.019339970738115057,0.06658314025196367
2023-04-20 00:20:12,15,0.8552462008049232,0.6992802958563428,0.6991592011975775,0.002499224813804723,0.019339759355822644,0.06656781501070143
2023-04-20 00:20:12,16,0.856371961625198,0.7010435941328098,0.7021171064738589,0.0024973789259929886,0.01934291884431657,0.06657241582227665
2023-04-20 00:20:12,17,0.8656127464325547,0.704665104582668,0.7027322034408561,0.0025011030767341973,0.019336766961291618,0.06656269907902378
2023-04-20 00:20:12,18,0.8634067366472953,0.7016647315833479,0.7044014745756342,0.0024982058537614876,0.01933200552335641,0.06655567990510358
2023-04-20 00:20:12,19,0.8654925641604719,0.7011775883551167,0.6967477214395179,0.002496709107660387,0.019327607862161582,0.06654249003574852
2023-04-20 00:20:12,20,0.862855479583793,0.703297489368673,0.701596902376521,0.002496047005860476,0.019329761635724856,0.06653236264275691
2023-04-20 00:20:12,21,0.8657384917612303,0.7037529616046148,0.7030174207229866,0.0024946187807344806,0.019326014897362125,0.0665224745131925
2023-04-20 00:20:12,22,0.8650830977435258,0.7130181538458062,0.7089820633254097,0.0024962690167306774,0.019330056008462694,0.066535518612581
2023-04-20 00:20:12,23,0.8712851819171902,0.7070585420241307,0.7044196599553385,0.0024945017725386907,0.019320330210450973,0.06652386071605818
2023-04-20 00:20:12,24,0.8650885506737175,0.709853633256655,0.7019713898177834,0.002497622868452805,0.01932713617100063,0.06652152752572627
2023-04-20 00:20:12,25,0.8612894377794649,0.7099530644954389,0.7080583373446787,0.0024938829300912508,0.019324390716229364,0.06652371630519506
2023-04-20 00:20:12,26,0.8554697197030597,0.7042121720090854,0.7032868092521023,0.00249736896826208,0.01932752774163603,0.06653970204930425
2023-04-20 00:20:12,27,0.8651401283071636,0.710050024135528,0.705026882117057,0.0025041562451211157,0.019328610107973033,0.06652742705094393
2023-04-20 00:20:12,28,0.8652243315503501,0.706419201798848,0.6992571097499478,0.0024924614391659463,0.019318740785844325,0.06652307862396013
2023-04-20 00:20:12,29,0.8665219236129543,0.7148397306374483,0.7067549170373904,0.0024944122459516754,0.019320405629882857,0.06653039615781903
2023-04-20 02:52:00,test_AUC,0.8665219236129543,0.7148397306374483,0.7067549170373904
